"Gene","ModuleColor","kME_blue","p.kME_blue","GS_Activation_Status.Activated","PValue"
"ATP8A1","blue",0.710453048562196,2.81405865326894e-07,-0.494203069863339,0.00119038508593054
"LYPD3","blue",0.95651843925067,6.21564638467715e-22,-0.714682458850526,2.21790330764803e-07
"RRP36","blue",-0.960453388949423,1.0608577327509e-22,0.788938999730178,1.47519541984239e-09
"NQO2","blue",-0.818181554519735,1.14118664057336e-10,0.65713489081197,4.10549533603118e-06
"MED20","blue",-0.911099539545781,3.3188577539624e-16,0.853150820771949,2.72305036895072e-12
"KLHDC3","blue",-0.895420974428231,6.31499712634062e-15,0.730143214116381,8.94984908161897e-08
"SSR1","blue",-0.933680081277623,1.54865008827489e-18,0.576341925779533,9.94202490866501e-05
"SLC35B3","blue",-0.731181014863764,8.40242831527105e-08,0.213754327456172,0.185370340870594
"SH3TC1","blue",0.851818470452146,3.19362110834382e-12,-0.597955875163639,4.60983001589835e-05
"TMTC4","blue",-0.857586846872976,1.58333521991686e-12,0.609163936448286,3.02635872481995e-05
"MBOAT7","blue",-0.749795593856441,2.57344286853094e-08,0.689258217801406,8.73634823864448e-07
"INSIG2","blue",-0.82084401462371,8.83881064737471e-11,0.78609030704061,1.85258831349088e-09
"SLC25A23","blue",-0.811500389390727,2.12845545388455e-10,0.732763511122736,7.62720975584657e-08
"GPR108","blue",-0.851756182557757,3.2173870778016e-12,0.757096217070568,1.572717933058e-08
"FOSB","blue",0.820286853775714,9.32748726456686e-11,-0.465172750104542,0.00249095657616507
"OPA3","blue",-0.853676315886498,2.55602080151116e-12,0.826741732798286,4.94283161563934e-11
"GPCPD1","blue",0.95505970981831,1.14879617579066e-21,-0.849948384119513,3.98403381752939e-12
"FAM182A","blue",-0.721827482550078,1.46907079120706e-07,0.395424957499064,0.0115549219204523
"PSMF1","blue",-0.877354449757219,1.10812165124099e-13,0.776610088027498,3.85976093967496e-09
"ZNF133","blue",-0.799426342715655,6.18336631341712e-10,0.497622967646949,0.00108651204250058
"MGME1","blue",-0.91765613369436,8.20607153336893e-17,0.928434670149021,6.28003978126085e-18
"FAM110A","blue",-0.799072724344018,6.37259477454378e-10,0.639883936956725,8.75875847904402e-06
"CEP250","blue",-0.874874902778327,1.58486981427199e-13,0.545330861520089,0.000273763378343853
"MMP24OS","blue",0.85153445283262,3.30334231086927e-12,-0.801219985363928,5.30177969656777e-10
"KDM5C","blue",0.826127379292093,5.25663829893154e-11,-0.364328062524171,0.020820951120977
"TMEM53","blue",0.88412897549305,4.00235751760424e-14,-0.679400009061609,1.43354476157564e-06
"NR1D1","blue",0.949887474976378,8.69984907420381e-21,-0.802363949274081,4.80243876782517e-10
"FRMD8","blue",-0.896408482459365,5.32027238235087e-15,0.591520156759792,5.82870896701323e-05
"SBDS","blue",0.969809771603821,6.81308661560329e-25,-0.673298959985089,1.92962347000182e-06
"ATG14","blue",0.899769675312817,2.92983098155503e-15,-0.947332489988883,2.188423855438e-20
"RHOT1","blue",-0.799493194314474,6.1481881612265e-10,0.773152848733149,5.00035430048007e-09
"NUP214","blue",0.787820882967311,1.61383247280338e-09,-0.47886250382813,0.00177262212627168
"TRAF2","blue",-0.940812492283981,1.89823020239242e-19,0.824278142521669,6.31757489564022e-11
"LRRC61","blue",-0.908657912596321,5.43385247888042e-16,0.76859317365953,6.98773864342503e-09
"FGFRL1","blue",0.741154822110887,4.5127582366088e-08,-0.630270010826686,1.30978708058139e-05
"PIN1","blue",-0.818645677376534,1.09180062104819e-10,0.640962419895512,8.36496011867917e-06
"FBXL12","blue",0.855677655919602,2.00391031918481e-12,-0.465311019118521,0.00248258319723392
"HP1BP3","blue",-0.743046727309361,3.99811646518502e-08,0.395263788469142,0.0115918764571664
"ADGRE2","blue",0.789231605151568,1.4407962812984e-09,-0.496440291916345,0.00112148583129398
