"Gene","ModuleColor","kME_turquoise","p.kME_turquoise","GS_Activation_Status.Activated","PValue"
"MLXIP","turquoise",-0.954161130211535,1.00978670465227e-08,-0.818770721841184,0.000105065679238702
"AURKAIP1","turquoise",0.985722082390826,3.1236854599061e-12,0.898649880861366,2.24466070893654e-06
"TTLL11","turquoise",-0.929884114824916,1.85340855226935e-07,-0.801052866476695,0.000191943482648681
"TOMM5","turquoise",0.963738319435793,2.00830283340655e-09,0.837697950015899,5.12028451045677e-05
"RUVBL1","turquoise",0.992478987494001,3.57836261927766e-14,0.911405786882723,9.06432681556645e-07
"CTDNEP1","turquoise",0.995164845674073,1.63565659988314e-15,0.955771079232337,7.8959781224893e-09
"AMIGO3","turquoise",-0.724371388917499,0.00150579781480979,-0.58398654995217,0.0175370693697756
"SLC35A4","turquoise",0.96085712401469,3.40351491426087e-09,0.957682461701039,5.82534822352592e-09
"SSNA1","turquoise",0.913290986661786,7.83745750684247e-07,0.958663171344564,4.95651411974384e-09
"CCDC57","turquoise",-0.943109119581468,4.44657843070938e-08,-0.909807673082569,1.02281157318014e-06
"ATAD5","turquoise",0.983069788962823,1.02236744904768e-11,0.947502905822466,2.56327811331832e-08
"ANAPC2","turquoise",-0.974274671494818,1.86802848424464e-10,-0.926168725783949,2.63376609152229e-07
"COX8A","turquoise",0.989246365574443,4.33449175363775e-13,0.92540132881289,2.8255994992993e-07
"ENSG00000176349.12","turquoise",-0.901902799737579,1.80235285787988e-06,-0.788179769360579,0.000286946203708826
"CDC26","turquoise",0.907421325795479,1.22000411787135e-06,0.827029791195396,7.75875479699234e-05
"KCMF1","turquoise",0.947382785127,2.60377813511138e-08,0.819028486909614,0.000104099964073562
"DNAJC30","turquoise",-0.954420039115525,9.71204446136534e-09,-0.88860714068188,4.23081595459422e-06
"SPRYD4","turquoise",-0.944138940864081,3.92367244326067e-08,-0.968835547640712,7.05019299593716e-10
"LPCAT4","turquoise",0.744727570054369,0.000934235989149234,0.808745869892428,0.000148865450937177
"WDR25","turquoise",0.821797175724895,9.41847887575514e-05,0.761191220836724,0.000614594377179843
"SGF29","turquoise",-0.911296201937066,9.14037570951342e-07,-0.789038190802037,0.000279591348687688
"CNTD1","turquoise",-0.793289425282436,0.000245426310980859,-0.712237287807124,0.00196413177510598
"LMNB2","turquoise",0.989034804191633,4.96505196748469e-13,0.978888605188173,4.74007810130447e-11
"ACSF3","turquoise",-0.918234044555723,5.26702329479766e-07,-0.756563450440685,0.00069359065220336
"RBIS","turquoise",0.919684310521,4.66518889787547e-07,0.7783147333715,0.000383601023033094
"TYMS","turquoise",0.971624849089724,3.68442876437645e-10,0.993308079482994,1.5832645461718e-14
"GCNT4","turquoise",-0.784220469106896,0.00032297374206012,-0.865698008392303,1.47073129929779e-05
"SHMT1","turquoise",0.784398601688248,0.000321276257397363,0.66095696468363,0.00530886995473884
"SMCR8","turquoise",-0.953015266315899,1.19662644563146e-08,-0.841952104238059,4.30257051126284e-05
"MTX3","turquoise",-0.923392570530217,3.38475745772209e-07,-0.859970997442086,1.93898583349102e-05
"ZDHHC13","turquoise",0.976987777161464,8.62363976943564e-11,0.948957896948309,2.11369703556714e-08
"WDR73","turquoise",-0.95190644090852,1.40469143808829e-08,-0.873206302453851,1.00385440046374e-05
"POLE","turquoise",0.95684153228946,6.67061398745938e-09,0.987229926190988,1.43580490253799e-12
"RHOG","turquoise",0.90595716513651,1.35622136171618e-06,0.878531104591088,7.5444936450763e-06
"FAM210A","turquoise",0.890357028579332,3.80518243178619e-06,0.944221008874303,3.88435463210221e-08
"TALDO1","turquoise",0.960175101244243,3.83399232214677e-09,0.895576352920768,2.7435849653913e-06
"CHD9","turquoise",-0.896186908041932,2.63765276829629e-06,-0.735485649079119,0.00116634910102725
"ZBTB38","turquoise",-0.913306656778703,7.82788172043572e-07,-0.954620716489783,9.42170499335207e-09
"MIEF2","turquoise",-0.9257012054985,2.74927210103564e-07,-0.89040231818845,3.79466536065127e-06
"SLC25A22","turquoise",0.806782821066103,0.000159006521885782,0.919537704049573,4.723247831506e-07
"RABEP2","turquoise",-0.936904640612177,9.02529693709094e-08,-0.846829683607365,3.5023372899976e-05
"ATOX1","turquoise",0.856712116085591,2.25723575684456e-05,0.687391891523773,0.00325684124351598
"TBL1XR1","turquoise",0.981500058125721,1.89391542704881e-11,0.937190456731201,8.74970279195458e-08
