"Gene","ModuleColor","kME_turquoise","p.kME_turquoise","GS_Activation_Status.Activated","PValue"
"METTL2B","turquoise",0.833280257285138,2.52837407547125e-11,0.678545437593999,1.49510333061251e-06
"HGSNAT","turquoise",-0.922581523609774,2.65561731696645e-17,-0.772749078755962,5.15234500401592e-09
"GKAP1","turquoise",-0.841114996823474,1.08909062544243e-11,-0.857243583251003,1.65224948668106e-12
"QNG1","turquoise",0.854831260767945,2.22211475757666e-12,0.762746322792629,1.06161202718297e-08
"MID1IP1","turquoise",0.848375346817307,4.78749612262464e-12,0.742425586328643,4.16073691942031e-08
"STRBP","turquoise",0.904812100643952,1.14948374396746e-15,0.739244096087947,5.0944438423343e-08
"ZNF367","turquoise",0.915366514088187,1.35396539196196e-16,0.944587371108635,5.60964447061383e-20
"NDUFB6","turquoise",0.950600958038011,6.66645291584215e-21,0.870879170829738,2.77739009542768e-13
"STOML2","turquoise",0.991473013424228,3.03496174524849e-35,0.913109872088177,2.18788868622576e-16
"ARHGAP12","turquoise",-0.949967065634511,8.4469166119867e-21,-0.836813648381139,1.73882893949207e-11
"INTS6L","turquoise",-0.846572106410561,5.89484638749764e-12,-0.739638079555831,4.96908824263864e-08
"SPTSSA","turquoise",0.839742466521299,1.26633032805323e-11,0.949398199192953,1.04190105815729e-20
"WRN","turquoise",0.766940855368089,7.87398935707855e-09,0.531092168254588,0.000422048422478346
"MARCHF8","turquoise",-0.898587827391491,3.62219778710358e-15,-0.708838130453129,3.07845864030029e-07
"GTF2A1","turquoise",0.898093924627015,3.95493610288215e-15,0.806584115892485,3.31543758510776e-10
"DDIAS","turquoise",0.963185002011426,2.78852055073134e-23,0.949740998651431,9.18414957079933e-21
"PCF11","turquoise",-0.931655874444932,2.6933147526242e-18,-0.829354058327597,3.79428792626095e-11
"LRR1","turquoise",0.935023733362268,1.06218538091776e-18,0.953137020142988,2.5040224215558e-21
"ZNF22-AS1","turquoise",-0.700390736641504,4.87721381620828e-07,-0.714750282352719,2.20937623380316e-07
"NEMF","turquoise",-0.813119370125513,1.83423535916217e-10,-0.765096972293781,8.98605804235863e-09
"ARF6","turquoise",0.909115222281697,4.95978885388747e-16,0.934643983546792,1.18258628015047e-18
"KBTBD6","turquoise",-0.705937103082789,3.61196102605509e-07,-0.602449726800842,3.90150486185586e-05
"NUDT5","turquoise",0.88529549171185,3.33728324037179e-14,0.814493280648089,1.61486519206313e-10
"ATP5F1C","turquoise",0.941646753534898,1.46014495151416e-19,0.916525745429011,1.05263697014507e-16
"VDAC2","turquoise",0.78551223341674,1.93942218077603e-09,0.659429317750609,3.69842357314136e-06
"COMTD1","turquoise",0.932576499478671,2.09848656641221e-18,0.949886182657741,8.70401438919335e-21
"ABRAXAS2","turquoise",0.931815786048794,2.57970568944286e-18,0.821723137272432,8.11622628949207e-11
"PRDX3","turquoise",0.97261299567762,1.09591110470725e-25,0.917887529926848,7.79483931054555e-17
"TSC1","turquoise",-0.940926857252587,1.83157915797492e-19,-0.862095495855704,8.95335537777069e-13
"HPRT1","turquoise",0.978033087672077,1.7393811841765e-27,0.950591302832419,6.69068811319431e-21
"DIPK1B","turquoise",-0.929071780390001,5.32866428331267e-18,-0.861117393029578,1.01491631644571e-12
"ZMYND19","turquoise",0.89676029230937,5.00303168422975e-15,0.728888206232332,9.65600744426116e-08
"BMS1","turquoise",0.75449475105611,1.87803114539087e-08,0.531884354309307,0.000412212300133981
"STK32C","turquoise",0.777919516401197,3.49505892109084e-09,0.569532951386876,0.000125267327150784
"NDRG2","turquoise",-0.931728951351298,2.64082366779346e-18,-0.948031753908923,1.70805285442422e-20
"CCDC186","turquoise",-0.884804777440017,3.60326792389262e-14,-0.817219068768251,1.25034076562055e-10
"TRUB1","turquoise",0.935485764410663,9.31286017980108e-19,0.852291735501258,3.01835540233718e-12
"FRAT1","turquoise",-0.940892910570379,1.85112875915352e-19,-0.850041942672748,3.94048005503954e-12
"SLC39A13","turquoise",-0.971367910312979,2.52321501985057e-25,-0.870503998725057,2.92481376265928e-13
"PSMC3","turquoise",0.959538395224139,1.62532235228863e-22,0.941194395051855,1.6841884467696e-19
"CPSF2","turquoise",0.820294648441993,9.32047958928411e-11,0.735411207286048,6.47692371510432e-08
"MOAP1","turquoise",-0.796817164549466,7.71286896109746e-10,-0.706139316516224,3.57216678696644e-07
"IFI27L1","turquoise",0.777937422536228,3.49030221923976e-09,0.806175102156388,3.43801609431925e-10
"PTER","turquoise",0.759529778016001,1.32954436226836e-08,0.6210317061382,1.90400450290536e-05
"CEP295","turquoise",0.930901572429654,3.29585886979495e-18,0.888165946494989,2.11595176873226e-14
"TAF1D","turquoise",0.770877807108521,5.91465855596358e-09,0.544588323321029,0.000280147603810344
"CEP57","turquoise",0.939151029445501,3.16553607157521e-19,0.828486785227731,4.14449092284959e-11
"TCP11L2","turquoise",-0.984228846656892,3.38371894499616e-30,-0.934720634714393,1.15729157885651e-18
"GLB1L3","turquoise",0.93499530564356,1.07078163714008e-18,0.92432307780475,1.75034134102806e-17
"RAB8B","turquoise",0.773769215183844,4.77637557138618e-09,0.798935456895214,6.44749673923962e-10
"NDUFB8","turquoise",0.932331307305116,2.24347001981306e-18,0.856467348036061,1.81861266221816e-12
"BAG5","turquoise",-0.727005024917573,1.08131069570811e-07,-0.620424888640998,1.95055591078103e-05
"DPCD","turquoise",0.818129194092425,1.14688755989138e-10,0.600618370492719,4.17724722584221e-05
"API5","turquoise",0.975967716449848,9.42191179464742e-27,0.869479727339004,3.36564185806509e-13
"NOLC1","turquoise",0.912287076552859,2.59784949073793e-16,0.72064227510807,1.57432804786747e-07
"ALKBH3","turquoise",0.837666402066575,1.58650559064757e-11,0.727086014872856,1.0760807318267e-07
"FRS2","turquoise",-0.968594814638369,1.4267004236613e-24,-0.867766849005506,4.24512896541891e-13
"CCT2","turquoise",0.843568840276196,8.28783735243828e-12,0.6947783269719,6.56457816207286e-07
"BORCS7","turquoise",-0.78606376949989,1.85649377485693e-09,-0.550005056452063,0.000236490737175947
"C2","turquoise",-0.859581492328952,1.23337768035662e-12,-0.930757521708231,3.42452808455034e-18
"NUDT13","turquoise",-0.888620471392866,1.96642868256455e-14,-0.851494947994551,3.31888108795407e-12
"DCHS1","turquoise",-0.77548399698279,4.20146971544815e-09,-0.935185476220188,1.01450255376274e-18
"ATP9B","turquoise",-0.969441328208769,8.55165344993577e-25,-0.946796135357761,2.64057366986553e-20
"IDH3A","turquoise",0.895704957219441,6.01232479874969e-15,0.740011263056873,4.8529984041657e-08
"ZMAT1","turquoise",-0.927869216706868,7.25660488039233e-18,-0.973937701611827,4.32165576139686e-26
"XRRA1","turquoise",-0.742804282098255,4.06087500026911e-08,-0.78910996818284,1.45500413732328e-09
"CENPN","turquoise",0.900211678273121,2.70453584799344e-15,0.943441579555248,8.19316478995114e-20
"AKIP1","turquoise",0.932963315437902,1.88760484599227e-18,0.916654780434027,1.02331972759106e-16
"ZNF143","turquoise",0.721777063664754,1.4734122104241e-07,0.551506983293053,0.000225523020082486
"WEE1","turquoise",0.805375652681627,3.68993674788367e-10,0.861447308535394,9.72998765408840e-13
"MCM7","turquoise",0.987024342306633,8.50933096806134e-32,0.924134087085466,1.83221881200607e-17
"ZNF3","turquoise",-0.925273768178483,1.38822643938644e-17,-0.912193063344925,2.64904901208728e-16
"RIMKLB","turquoise",-0.715478083468555,2.11976514910109e-07,-0.833759147446824,2.40451725289526e-11
"TMED3","turquoise",0.967649769302462,2.48551548443062e-24,0.936507565682893,6.93829462690964e-19
"CIAO2B","turquoise",0.921709911337964,3.25980571629094e-17,0.792587609373559,1.09626444000423e-09
"BLCAP","turquoise",-0.932438067101322,2.17921734645368e-18,-0.788227630939678,1.56204934875369e-09
"ATF7IP2","turquoise",-0.933893249262574,1.45949981825089e-18,-0.863491544620497,7.47400684580584e-13
"MARF1","turquoise",-0.878281759577363,9.67399329268262e-14,-0.885247136547754,3.36264880445107e-14
"SAAL1","turquoise",0.883761725884446,4.23631662255734e-14,0.727788351199068,1.03170094379693e-07
"YPEL4","turquoise",-0.927882889465776,7.23138831009336e-18,-0.90803819516581,6.14471179689016e-16
"CIAO2A","turquoise",0.979129419133569,6.63820362840998e-28,0.924100936839906,1.84694802313076e-17
"TMEM170A","turquoise",-0.736077188837068,6.2141109848427e-08,-0.613422313198135,2.56829628127831e-05
"PLK1","turquoise",0.935991684034593,8.05478852505038e-19,0.979607461707047,4.29181207007994e-28
"CLPX","turquoise",0.93972911807325,2.65391124489909e-19,0.797686925505639,7.16757311835705e-10
"NEMP1","turquoise",0.972574778843351,1.12496285902929e-25,0.910943615300859,3.42645701180605e-16
"MRPL16","turquoise",0.958782349230325,2.29531134024217e-22,0.97274215394028,1.00289167716293e-25
"MTMR10","turquoise",-0.885507817067581,3.22802010617784e-14,-0.712274075357944,2.54121042592793e-07
"YWHAB","turquoise",0.821373066962841,8.39706698337178e-11,0.845358743478065,6.77064230702187e-12
"CCNDBP1","turquoise",-0.786053135964519,1.85806084013076e-09,-0.739154616544654,5.12332028270134e-08
"RCCD1","turquoise",0.930995560655956,3.21438108377004e-18,0.904204537546901,1.29016579358614e-15
"MARS1","turquoise",0.892468784782077,1.04367986930016e-14,0.69730890634958,5.74627446351102e-07
"MBD6","turquoise",-0.889680825899074,1.65535241860648e-14,-0.710379314534748,2.82565744502937e-07
"NUDT21","turquoise",0.98631478824503,2.32576225454994e-31,0.920983058473803,3.8605407160914e-17
"MEI1","turquoise",-0.746446306548271,3.20785452667032e-08,-0.592887889296033,5.54754573419254e-05
"PBX3","turquoise",-0.723285851978518,1.34850949596634e-07,-0.592458915859404,5.63437368448114e-05
"GNGT2","turquoise",0.967359793111683,2.93736890113824e-24,0.906906121321293,7.67490621414109e-16
"PHB1","turquoise",0.960628892639684,9.76381431924091e-23,0.815556148571819,1.46227310129656e-10
"SNRPD1","turquoise",0.943028822311015,9.37301013648241e-20,0.884803568030714,3.60394744347984e-14
"TTC16","turquoise",-0.701326399898319,4.63846782032127e-07,-0.512557722960594,0.000721052976241489
"EEIG1","turquoise",-0.85469357421235,2.25965370439073e-12,-0.638404602957559,9.32657699961554e-06
"GOLGA2","turquoise",-0.705305299009462,3.73895362749623e-07,-0.677438308962454,1.57847810602309e-06
"TRUB2","turquoise",0.80116279250505,5.32797528207841e-10,0.666785138476169,2.63026678496172e-06
"DOLPP1","turquoise",0.908165265944885,5.99216971555284e-16,0.883552902918581,4.3750262097817e-14
"KATNAL2","turquoise",-0.856861770761293,1.73220766895205e-12,-0.812671624646567,1.91154924091338e-10
"ZNF91","turquoise",-0.915386160912253,1.34824146011257e-16,-0.839754235893439,1.26470168830593e-11
"DPEP2","turquoise",-0.969084593604678,1.06285968364476e-24,-0.918182682210282,7.29846835280175e-17
"DUS2","turquoise",0.917096193162678,9.28744746681871e-17,0.80426276304712,4.06946317619985e-10
"ENGASE","turquoise",-0.728325292350194,9.98924035647356e-08,-0.801540454838486,5.15721081223587e-10
"TEPSIN","turquoise",-0.939551134396381,2.80245379394802e-19,-0.794470699522336,9.38354445728361e-10
"ACAA2","turquoise",0.90703214407545,7.48830851363368e-16,0.954926837736274,1.21366904454185e-21
"RRM1","turquoise",0.939329951976678,2.99799873484426e-19,0.936354855765206,7.25256268945932e-19
"VKORC1","turquoise",0.937706580688922,4.88111844745538e-19,0.914625115131285,1.58750246446093e-16
"TPM4","turquoise",0.788417307297008,1.5384357445475e-09,0.857887314630977,1.52523723191039e-12
"JSRP1","turquoise",0.866684820843296,4.90752145484377e-13,0.715125983976364,2.16268868844829e-07
"MVD","turquoise",0.818542831969631,1.10256836331537e-10,0.87321213291816,2.0062190246096e-13
"CDT1","turquoise",0.968645505150496,1.38418530309386e-24,0.983188889543323,1.12831377121156e-29
"ZNF641","turquoise",-0.876935657911369,1.17779353202369e-13,-0.680820817787251,1.33634562076124e-06
"KMT2D","turquoise",-0.917709622280256,8.10923401009412e-17,-0.76922957610574,6.67190273624464e-09
"CORO6","turquoise",0.847750585141244,5.14692641428152e-12,0.666661801417921,2.64554589702283e-06
"RHEBL1","turquoise",0.821016052434293,8.69283137482565e-11,0.77907073344238,3.20123168041623e-09
"TUBA1C","turquoise",0.950637965173195,6.57432863172568e-21,0.949234337327542,1.10632149231857e-20
"ZNF528","turquoise",-0.853873224775879,2.4959482932932e-12,-0.738413392471723,5.36843713877337e-08
"PROSER3","turquoise",0.917995111155262,7.61033892768342e-17,0.924169489878063,1.81661115402987e-17
"LENG8","turquoise",-0.919800345183745,5.06623603182972e-17,-0.909340095826535,4.74124099899924e-16
"ZNF146","turquoise",0.836681726471665,1.76358343438554e-11,0.717796850985042,1.85621597233597e-07
"YIF1B","turquoise",0.960083784042907,1.26188924272193e-22,0.93343550363433,1.65726343481422e-18
"CHAF1A","turquoise",0.867509042263794,4.39485544259006e-13,0.927146660303492,8.71378396096332e-18
"HDGFL2","turquoise",0.964948928351306,1.11400264573495e-23,0.951734614132892,4.33139328290487e-21
"PLIN4","turquoise",-0.879787515348707,7.7411419115346e-14,-0.707987836289998,3.22673586470517e-07
"KIFC2","turquoise",-0.906503458347989,8.3009142021321e-16,-0.729613392043591,9.24190781024723e-08
"SRR","turquoise",0.878906487863277,8.82265664139248e-14,0.910419509598143,3.81273129637903e-16
"TSR1","turquoise",0.832404683788697,2.77042733544383e-11,0.623910956837553,1.69664655778784e-05
"ZNF83","turquoise",-0.967216145638652,3.18898240358066e-24,-0.888952808308727,1.86345776340587e-14
"ENSG00000167774.2","turquoise",0.872006350224182,2.37536860175035e-13,0.835203357266794,2.06454920361042e-11
"CD320","turquoise",0.9755087861887,1.34433054781822e-26,0.885059676638826,3.46270937195636e-14
"NUDT8","turquoise",0.957758816839743,3.625530327621e-22,0.847966384422189,5.02000635196804e-12
"PRDX2","turquoise",0.969535225217881,8.07253825295347e-25,0.978175812621234,1.53865870518188e-27
"MRPL58","turquoise",0.957399196923777,4.24582900189784e-22,0.896712295216797,5.04523775373874e-15
"ATP5PD","turquoise",0.914891264689164,1.49961063213427e-16,0.900110437282419,2.75465034442312e-15
"SRP68","turquoise",0.834502540383034,2.22346191412667e-11,0.652178608870657,5.128969181631e-06
"TMC8","turquoise",-0.852995885522848,2.77421944737122e-12,-0.663315431566174,3.09260329410488e-06
"TK1","turquoise",0.973452238895456,6.11102856176493e-26,0.976319095682639,7.14364241590634e-27
"KRT10-AS1","turquoise",0.769171861450888,6.69998741185119e-09,0.649762533101124,5.7084896001514e-06
"MLST8","turquoise",0.850584129490301,3.6967494826773e-12,0.645889732635966,6.76392186453351e-06
"ECI1","turquoise",0.876145881122149,1.32053284398747e-13,0.818761035020528,1.0798400326482e-10
"DDB1","turquoise",0.980785712435073,1.39946654863581e-28,0.874284758014119,1.72384048088896e-13
"POLR2G","turquoise",0.875203850848699,1.51205163651388e-13,0.709039076005105,3.04435078611365e-07
"TRANK1","turquoise",-0.701004870404569,4.71926357406097e-07,-0.461831709642469,0.00270096522970725
"ULK4","turquoise",-0.846398951827315,6.01296788557351e-12,-0.779527192186933,3.09124154319939e-09
"LTBP3","turquoise",-0.943653836556264,7.64249321125976e-20,-0.938650939225852,3.68193704296565e-19
"COPS6","turquoise",0.782994578538619,2.36379899719634e-09,0.625730345952198,1.57648308820724e-05
"ANKS3","turquoise",-0.895503474529629,6.22562059169727e-15,-0.920572328840294,4.24469849990111e-17
"VASN","turquoise",-0.78196414955405,2.56128512639357e-09,-0.641323222838109,8.23688268511094e-06
"RNF187","turquoise",0.928459998903954,6.23933979492798e-18,0.937893688941484,4.61755429803497e-19
"RBPJ","turquoise",0.842770123043538,9.06303437436319e-12,0.697434520073476,5.70822317769427e-07
"LMBRD1","turquoise",-0.940971658105797,1.80607705256988e-19,-0.813300722958135,1.80376112367037e-10
"NT5DC2","turquoise",0.953280036220873,2.36570250841684e-21,0.954063411069577,1.7274286974735e-21
"COA6","turquoise",0.974245801933012,3.45683694698321e-26,0.921384202122076,3.51718711872908e-17
"THAP11","turquoise",-0.700274733437183,4.90759211728567e-07,-0.571885660527246,0.000115720106950764
"MMADHC","turquoise",0.846711641493271,5.80124706298042e-12,0.767727107719967,7.4399669083469e-09
"PXK","turquoise",0.892024393703969,1.12425129922095e-14,0.781918929303104,2.57029467895977e-09
"DTYMK","turquoise",0.977919266335883,1.91695987321102e-27,0.953490430261387,2.17527877911768e-21
"TAP1","turquoise",0.805888523601819,3.52641245902603e-10,0.944073013747891,6.65604891777878e-20
"RFWD3","turquoise",0.967428096087451,2.82442813482243e-24,0.955900790442374,8.08228658497525e-22
"RHOH","turquoise",-0.840769193500081,1.13141033489263e-11,-0.746461164548708,3.20474429455105e-08
"STIP1","turquoise",0.979747627970642,3.76923841426897e-28,0.930826931975693,3.36194868794691e-18
"REEP4","turquoise",0.805688977648308,3.58921342902738e-10,0.838387726869868,1.46751998649925e-11
"FEN1","turquoise",0.928225639073288,6.62562152190728e-18,0.985908516957708,4.04059751020524e-31
"HEXIM2","turquoise",0.754309064184923,1.901806769064e-08,0.868954956599967,3.61498663753618e-13
"TMUB2","turquoise",-0.837416022691237,1.62987960945013e-11,-0.681094500778616,1.31833547896827e-06
"AXIN2","turquoise",-0.910048638720448,4.11047931235715e-16,-0.789829489249001,1.37282373343825e-09
"NDUFS5","turquoise",0.719547170441576,1.67775423431633e-07,0.58275676719761,7.9592087902692e-05
"LDLRAD4","turquoise",-0.902899316315859,1.64910061555394e-15,-0.82905256409379,3.9127593628079e-11
"AHCYL1","turquoise",0.910583693579182,3.68751794133132e-16,0.82122934897403,8.51497682472587e-11
"SEMA4C","turquoise",-0.930917574567761,3.28185042743191e-18,-0.800555869677315,5.61351334917665e-10
"CNNM3","turquoise",-0.928330435688192,6.45018261620781e-18,-0.85590127158828,1.94971635007256e-12
"ZBTB49","turquoise",-0.772510754500048,5.24406687124084e-09,-0.690035056935097,8.39509982765317e-07
"GFM1","turquoise",0.855846236618222,1.96292509290522e-12,0.651399114759113,5.30975063675356e-06
"ANKRD49","turquoise",-0.898846078734143,3.45889433685048e-15,-0.878265384110918,9.69731475782569e-14
"USP39","turquoise",0.949386537052464,1.04636613072082e-20,0.835951919707823,1.90660545076969e-11
"TNIP2","turquoise",0.806539029713463,3.32874635835565e-10,0.624873000281541,1.63210303622534e-05
"TMEM150A","turquoise",-0.928393475053158,6.34677041627871e-18,-0.924184994099854,1.80981553696308e-17
"RNF181","turquoise",0.931149806438639,3.08477249199073e-18,0.859713942399946,1.21292575193239e-12
"MAT2A","turquoise",0.89524362666605,6.51123352090579e-15,0.916248562629435,1.11831335452493e-16
"LETM1","turquoise",0.963324592967054,2.59749095163531e-23,0.921477717802204,3.44139243167402e-17
"SPRY3","turquoise",-0.930718634350782,3.46006725173352e-18,-0.801212725342674,5.30509826242646e-10
"MFF","turquoise",0.851764267597843,3.21429287945296e-12,0.708572294120892,3.12412431171857e-07
"JMJD7-PLA2G4B","turquoise",-0.919752921207441,5.12130453402965e-17,-0.943174871359906,8.93830457554992e-20
"E2F6","turquoise",0.77581679627273,4.09765561700288e-09,0.558179865036653,0.000182124975124157
"COMMD8","turquoise",0.901063551201068,2.31558323419897e-15,0.86032402038077,1.12276722491073e-12
"ATP5ME","turquoise",0.892390269954567,1.05750787463441e-14,0.8490665806154,4.41732855144236e-12
"MAP2K1","turquoise",0.948636657390188,1.37464495225734e-20,0.93506091667047,1.05103982758898e-18
"MECP2","turquoise",-0.955100135039101,1.12971865664132e-21,-0.866499816416857,5.03007102384248e-13
"HSPBAP1","turquoise",-0.932561068681452,2.10734365001654e-18,-0.897628751843611,4.29446358590867e-15
"UBE2V2","turquoise",0.946445873601017,2.98202190467342e-20,0.869171966825861,3.50983974100959e-13
"APEX2","turquoise",0.978411268624223,1.25463408332315e-27,0.892826004896171,9.82887870262213e-15
"NSMCE1","turquoise",0.975569748875624,1.28283200555977e-26,0.907612452596163,6.68289793767164e-16
"CCDC126","turquoise",-0.720938898760985,1.5473487633857e-07,-0.663992411610885,2.99691627655632e-06
"PRELID1","turquoise",0.987024870145412,8.50279508092478e-32,0.889954787578424,1.5828655683286e-14
"SLC50A1","turquoise",0.967718620675577,2.38833509500913e-24,0.926979118929863,9.08903674702011e-18
"KCNAB1","turquoise",-0.926106443493181,1.13030665050987e-17,-0.919099573704292,5.93981053353675e-17
"MRPL1","turquoise",0.895461491678046,6.2709528306222e-15,0.759393060620057,1.34221974064751e-08
"PGM2","turquoise",0.984598596533202,2.16280353433097e-30,0.903743766651369,1.40750949963239e-15
"SNUPN","turquoise",0.948668178688347,1.3590795678356e-20,0.918833817707949,6.30681398136835e-17
"ARL13B","turquoise",0.824025664349579,6.4770835019748e-11,0.687444143576214,9.58369192022671e-07
"CLIC4","turquoise",0.952506212707732,3.2105228981216e-21,0.905175983057164,1.07228517401468e-15
"METTL15","turquoise",0.925424592599912,1.33772997593542e-17,0.769129236616347,6.72079986679208e-09
"PCBP1","turquoise",0.910080139329328,4.08436196301645e-16,0.981342151826842,8.04553150650807e-29
