"Gene","ModuleColor","kME_brown","p.kME_brown","GS_Activation_Status.Activated","PValue"
"CCAR1","brown",0.971486306918409,1.41503184654218e-07,0.85100829583782,0.000447768319867726
"MRPS35","brown",0.979719994458849,2.61128812390991e-08,0.872319349659205,0.000214854900756474
"TNK2","brown",-0.943436275493448,4.14525921646112e-06,-0.523452417285608,0.0807167729289767
"CS","brown",0.99264886776509,1.66991108782931e-10,0.830008618645756,0.000834071200876303
"MRPS24","brown",0.98942936493374,1.02114928855997e-09,0.836409101354982,0.000696319245640036
"SLC6A16","brown",-0.941118765954141,5.04697494391383e-06,-0.766419181544291,0.00364282811988963
"ISOC2","brown",0.95802717750526,9.56016390792645e-07,0.796587437033858,0.00192723377164859
"EPN1","brown",-0.928728432323984,1.28390400393129e-05,-0.482202368724002,0.112378131687523
"MED29","brown",-0.968426137966615,2.34367164736395e-07,-0.808269534936703,0.00146432337527767
"CASP8","brown",-0.977067317697619,4.80676323452777e-08,-0.871904733782012,0.000218207598120194
"TNPO3","brown",0.991474817780202,3.49613458933389e-10,0.794165130680397,0.00203582557240064
"TMEM161A","brown",0.838584046707749,0.00065376575420787,0.552205197793785,0.0626505842458843
"LPAR2","brown",-0.963662436037865,4.69401082341732e-07,-0.828161417298502,0.000877491237990268
"ABCA7","brown",-0.987092881711768,2.76077806475277e-09,-0.853638581879124,0.000411521341239014
"SBNO2","brown",0.973323455213525,1.01739741756405e-07,0.863382367538958,0.000296650064412838
"PMS1","brown",0.948790821570778,2.54423658337467e-06,0.550704519029742,0.0635166887234743
"HMG20B","brown",0.982294185784128,1.33036493679859e-08,0.853484259105921,0.000413582828954929
"BLTP3A","brown",0.973471840472935,9.89661889638649e-08,0.805298602225727,0.0015729227752316
"KARS1","brown",0.98718456047603,2.66452167959136e-09,0.858292483965377,0.000353009429644441
"ZC3H15","brown",0.980675087358852,2.05493794941596e-08,0.863070498886758,0.000299887077530674
"CDK13","brown",-0.960503049870517,7.08373910426756e-07,-0.90948703596594,4.10333133917299e-05
"YBX1","brown",0.984953190736084,5.92311383052572e-09,0.865225125806228,0.000278074605485457
"ELAVL1","brown",0.964739371043189,4.04581092990983e-07,0.903178065947837,5.68482002747368e-05
"ISOC1","brown",0.983762486018729,8.65084771191505e-09,0.762633656473829,0.00392050854921552
"DNTTIP2","brown",0.957862545399432,9.74641394055007e-07,0.56949881387551,0.0532536185041327
"TRO","brown",0.861831474143506,0.000313020083396986,0.520721681568877,0.0825984074303038
"IARS2","brown",0.992446048830627,1.91269540919644e-10,0.828143382455983,0.000877923588936775
"POLR1A","brown",0.963374221674938,4.88076392578572e-07,0.896368574052885,7.89190521684514e-05
"SRBD1","brown",0.968468159646259,2.32828217135617e-07,0.868779395647673,0.000244813721796708
"RASGRP2","brown",-0.98022787841114,2.30224347793508e-08,-0.628154096292176,0.0287198596461753
"IFT80","brown",-0.944852371877785,3.66052280669971e-06,-0.565739362890906,0.0552064232656891
"PYGM","brown",-0.96759031059962,2.66698229451098e-07,-0.873331368856122,0.000206840116024108
"NUP133","brown",0.977297645404073,4.57194659327127e-08,0.645299535261446,0.0234438144099504
"VPS35","brown",0.939620452364047,5.70803018868824e-06,0.52968645758783,0.0765310378270094
"DNAJA2","brown",0.961291686708958,6.41276662557295e-07,0.597282456433583,0.0402963658140392
"NEDD4","brown",0.959729862336722,7.79456804093058e-07,0.870441514507114,0.000230367071988115
"RAB27A","brown",0.992662167118804,1.65489677206129e-10,0.836195104400977,0.000700619136077633
"UFD1","brown",0.985138568263632,5.56885876555796e-09,0.804850070369955,0.00158984085866566
"TMEM260","brown",-0.959906654538072,7.62724880021183e-07,-0.886495512312834,0.000122274760797963
"SMG6","brown",-0.980801599719342,1.98897111633269e-08,-0.826614016607764,0.000915189920596915
"DGCR2","brown",-0.970859479274342,1.57589275310923e-07,-0.88451439440185,0.000132865423451487
"RNF126","brown",0.863206953055077,0.000298467396919438,0.408603391028244,0.187248732637044
"MNT","brown",-0.988597985610376,1.48897519823857e-09,-0.795493696797205,0.00197570220242816
"POLB","brown",0.978365798293237,3.59940519947279e-08,0.64244373865691,0.0242693432917899
"ST6GALNAC1","brown",-0.953909338205294,1.51585569800021e-06,-0.877953952929821,0.000173148663390283
"GBA2","brown",-0.890240620291719,0.000104066352222143,-0.451863302593757,0.140289344933772
"ASNS","brown",0.983387117997093,9.69197909860042e-09,0.867007640925555,0.00026098115351704
"RAD18","brown",0.971110426595578,1.50983480041787e-07,0.880167197863274,0.000158620011532614
"NCK2","brown",0.886232595328225,0.000123640869269235,0.416200922777368,0.17837860887597
"MAP4K4","brown",-0.964387565113893,4.24918389565492e-07,-0.589695037519532,0.0435842010578007
"BUD23","brown",0.995420783480853,1.57358068025807e-11,0.79908638198072,0.00181991157265449
"ATP6AP1","brown",-0.91792917869014,2.55178400857112e-05,-0.506130767702472,0.0931585777646082
"TCF3","brown",0.972720729952824,1.13649014836002e-07,0.623236867786414,0.0303790434476453
"TRIB2","brown",-0.977655608236857,4.22523299685273e-08,-0.617068111270968,0.0325566706446535
"RDH11","brown",0.961486390992072,6.25515844697739e-07,0.898622241872395,7.09798502085785e-05
"AFF4","brown",-0.978934079420077,3.15386634293392e-08,-0.836144588863458,0.000701637146758408
"UBE2D1","brown",0.961684346664282,6.09808979113436e-07,0.750863848793863,0.00488713602099978
"FBXW11","brown",0.976519607080046,5.40387482142786e-08,0.790886353952993,0.00219019778469835
"DERL2","brown",-0.954726905759156,1.38802171570633e-06,-0.806214052016057,0.00153882212065118
"SIDT1","brown",-0.991882326251198,2.7385688088165e-10,-0.78746551161705,0.00236063584446681
