GeneID,Symbol,Module,Module_kME,PValue_kME,Is_Hub,Predicted_BP,Predicted_MF,Predicted_CC,Predicted_KEGG,log2FoldChange,padj_DE
ENSG00000303041.1,,yellow,0.537688538054281,3.461871283768924e-4,FALSE,Unknown,monoatomic ion channel activity; transmembrane receptor protein kinase activity; channel activity; passive transmembrane transporter activity; voltage-gated channel activity,plasma membrane protein complex; plasma membrane signaling receptor complex; receptor complex; cell leading edge; T cell receptor complex,Unknown,NA,NA
ENSG00000303069.1,,turquoise,0.5947507608579944,5.184409744949248e-5,FALSE,transcription initiation at RNA polymerase II promoter; DNA-templated transcription initiation; transcription preinitiation complex assembly,Unknown,nuclear ribonucleoprotein granule,Biosynthesis of cofactors,NA,NA
ENSG00000303092.1,,yellow,-0.5748454580580621,1.0464596814482513e-4,FALSE,Unknown,monoatomic ion channel activity; transmembrane receptor protein kinase activity; channel activity; passive transmembrane transporter activity; voltage-gated channel activity,plasma membrane protein complex; plasma membrane signaling receptor complex; receptor complex; cell leading edge; T cell receptor complex,Unknown,NA,NA
ENSG00000303148.1,,turquoise,-0.48906707907291685,0.0013629327540706315,FALSE,transcription initiation at RNA polymerase II promoter; DNA-templated transcription initiation; transcription preinitiation complex assembly,Unknown,nuclear ribonucleoprotein granule,Biosynthesis of cofactors,NA,NA
ENSG00000303153.1,,blue,0.5215754968466721,5.577656440190727e-4,FALSE,nuclear chromosome segregation; chromosome segregation; sister chromatid segregation; nuclear division; organelle fission,"ligase activity; structural constituent of chromatin; ATP-dependent activity, acting on DNA; protein heterodimerization activity; oxidoreduction-driven active transmembrane transporter activity",mitochondrial matrix; chromosomal region; condensed chromosome; mitochondrial inner membrane; nuclear chromosome,Cell cycle; Carbon metabolism; Parkinson disease; Biosynthesis of amino acids; Prion disease,NA,NA
ENSG00000303233.1,,blue,-0.66637801572766,2.6810121639368447e-6,FALSE,nuclear chromosome segregation; chromosome segregation; sister chromatid segregation; nuclear division; organelle fission,"ligase activity; structural constituent of chromatin; ATP-dependent activity, acting on DNA; protein heterodimerization activity; oxidoreduction-driven active transmembrane transporter activity",mitochondrial matrix; chromosomal region; condensed chromosome; mitochondrial inner membrane; nuclear chromosome,Cell cycle; Carbon metabolism; Parkinson disease; Biosynthesis of amino acids; Prion disease,NA,NA
ENSG00000303252.1,,brown,0.47435217868618684,0.0019859289409779614,FALSE,"alternative mRNA splicing, via spliceosome; RNA splicing, via transesterification reactions; RNA splicing, via transesterification reactions with bulged adenosine as nucleophile; mRNA splicing, via spliceosome; mRNA processing",Unknown,Unknown,Spliceosome,NA,NA
ENSG00000303254.1,,brown,0.5080254745429623,8.182062976144473e-4,FALSE,"alternative mRNA splicing, via spliceosome; RNA splicing, via transesterification reactions; RNA splicing, via transesterification reactions with bulged adenosine as nucleophile; mRNA splicing, via spliceosome; mRNA processing",Unknown,Unknown,Spliceosome,NA,NA
ENSG00000303311.1,,blue,-0.5460532275698067,2.676784081596325e-4,FALSE,nuclear chromosome segregation; chromosome segregation; sister chromatid segregation; nuclear division; organelle fission,"ligase activity; structural constituent of chromatin; ATP-dependent activity, acting on DNA; protein heterodimerization activity; oxidoreduction-driven active transmembrane transporter activity",mitochondrial matrix; chromosomal region; condensed chromosome; mitochondrial inner membrane; nuclear chromosome,Cell cycle; Carbon metabolism; Parkinson disease; Biosynthesis of amino acids; Prion disease,NA,NA
ENSG00000303333.1,,turquoise,-0.470330656529838,0.002194854672095096,FALSE,transcription initiation at RNA polymerase II promoter; DNA-templated transcription initiation; transcription preinitiation complex assembly,Unknown,nuclear ribonucleoprotein granule,Biosynthesis of cofactors,NA,NA
