Analysis,Module,Type,Ontology,Gene_Scope,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Source_File,category,subcategory
cd4_all,blue,GO,BP,AllGenes,GO:0140694,membraneless organelle assembly,152/4070,392/12980,0.387755102040816,1.23662437948152,3.2151639470494,9.3514701953236e-4,0.0306371975922985,0.0295661144145384,POLDIP2/FARP2/ANLN/METTL1/ARHGEF5/MRTO4/HDAC7/ASPM/MEF2A/WDR1/CLASP1/FSCN1/WDR62/MLH1/SPAG5/XRCC5/NDC80/NOA1/MAPRE3/MYBPC2/AURKA/TPX2/BIRC5/KIF4A/TNRC6A/HAUS4/CAPN3/MYBL2/TUBB1/CSNK2A1/CDS2/KIF3B/CHMP4B/USP10/CCP110/RAB11A/SQLE/PLA2G4C/PPP2R1A/BCCIP/SMC3/TRIM37/KPNB1/C1QBP/MYH3/BIN2/NOP2/FBXO5/SRF/SENP6/CENPA/EPHA4/CDC20/NEK2/CENPF/STAG1/PLS1/GPSM2/MTERF4/MRPS2/CENPK/CDK2/STIL/AGO2/TUBGCP3/PRMT1/DLGAP5/LSM4/CHMP2A/CHMP1A/TRIM21/DHX30/ERAL1/NIP7/MYH11/EIF2S1/CDCA8/CAPRIN1/LCP1/CDK5RAP2/PPP2R1B/KIF23/HAUS2/KIF11/CENPE/POC1B/DIAPH3/FITM1/GRB7/PLK4/POGZ/G3BP1/MSN/CETN2/CHMP7/HAUS6/INCENP/LSM14B/FBXO4/HAUS1/CENPH/ADPRHL1/OBSCN/SKA1/TTN/MTERF3/CCNB2/EIF5B/KASH5/WDR90/CCDC78/KIF15/CEP44/DCAF13/SKA3/CEP295/GOLGA2/DDB1/ATXN2L/CENPX/CNTROB/AKAP13/LSM3/HDAC3/SH3PXD2B/RTTN/AURKB/RRS1/RCC1/NPM1/NEB/TUBB/CHEK2/ACTG1/KNTC1/DRG1/FITM2/RPF2/PRC1/CENPW/KIFC1/NBDY/MZT1/E2F4/HAUS7/PATL2/EIF6/PRKDC/CHMP4A/BOP1/RCC1L/UHRF1,152,cd4_all_blue_GO_BP_AllGenes.csv,NA,NA
cd4_all,blue,GO,BP,AllGenes,GO:0009070,serine family amino acid biosynthetic process,10/4070,13/12980,0.769230769230769,2.45322245322245,3.54293340296408,9.5867429538641e-4,0.0308569784900983,0.0297782117237294,SEPHS1/PHGDH/GGT1/CTH/PSPH/CBS/LOC102724560/SERINC5/SHMT1/SHMT2,10,cd4_all_blue_GO_BP_AllGenes.csv,NA,NA
cd4_all,blue,GO,BP,AllGenes,GO:0051782,negative regulation of cell division,10/4070,13/12980,0.769230769230769,2.45322245322245,3.54293340296408,9.5867429538641e-4,0.0308569784900983,0.0297782117237294,ASPM/TEX14/E2F8/VPS4A/MYC/INTU/E2F7/AURKB/PTCH1/TXNIP,10,cd4_all_blue_GO_BP_AllGenes.csv,NA,NA
cd4_all,blue,GO,BP,AllGenes,GO:1903490,positive regulation of mitotic cytokinesis,10/4070,13/12980,0.769230769230769,2.45322245322245,3.54293340296408,9.5867429538641e-4,0.0308569784900983,0.0297782117237294,POLDIP2/BIRC5/RAB11A/ECT2/CDCA8/KIF20B/INCENP/ARF6/AURKB/RAB11FIP3,10,cd4_all_blue_GO_BP_AllGenes.csv,NA,NA
cd4_all,blue,GO,BP,AllGenes,GO:0046112,nucleobase biosynthetic process,12/4070,17/12980,0.705882352941177,2.25119236883943,3.48878941404931,0.00101552517423566,0.0321232790746729,0.0310002421608781,CPS1/CTPS2/CAD/DHODH/UMPS/PAICS/PRPS1/HPRT1/SHMT1/MTOR/APRT/GART,12,cd4_all_blue_GO_BP_AllGenes.csv,NA,NA
cd4_all,blue,GO,BP,AllGenes,GO:0046653,tetrahydrofolate metabolic process,12/4070,17/12980,0.705882352941177,2.25119236883943,3.48878941404931,0.00101552517423566,0.0321232790746729,0.0310002421608781,MTHFD2/SLC46A1/MTHFD1/MTHFD1L/GCH1/ALDH1L2/MTHFS/ATIC/TYMS/SHMT1/MTHFR/SHMT2,12,cd4_all_blue_GO_BP_AllGenes.csv,NA,NA
cd4_all,blue,GO,BP,AllGenes,GO:1901978,positive regulation of cell cycle checkpoint,12/4070,17/12980,0.705882352941177,2.25119236883943,3.48878941404931,0.00101552517423566,0.0321232790746729,0.0310002421608781,NDC80/BIRC5/MAP3K20/TELO2/TTI1/CDCA8/KNL1/DYNC1LI1/INCENP/MAD2L1/GEN1/AURKB,12,cd4_all_blue_GO_BP_AllGenes.csv,NA,NA
cd4_all,blue,GO,BP,AllGenes,GO:0009124,nucleoside monophosphate biosynthetic process,22/4070,39/12980,0.564102564102564,1.7990297990298,3.37746089933687,0.00102636761360084,0.0322807276871943,0.031152186335217,CAD/PRPS2/DHODH/IMPDH1/UMPS/DGUOK/PAICS/DUT/DCTD/ATIC/UCK2/PRPS1/ADK/HPRT1/TK1/TYMS/SHMT1/IMPDH2/PFAS/ENTPD8/APRT/GART,22,cd4_all_blue_GO_BP_AllGenes.csv,NA,NA
cd4_all,blue,GO,BP,AllGenes,GO:0045143,homologous chromosome segregation,27/4070,51/12980,0.529411764705882,1.68839427662957,3.32903867080015,0.00108440732777893,0.0339123746141773,0.0327267905261511,MRE11/MSH4/STAG3/TRIP13/MLH1/ZCWPW1/DMC1/CCNB1IP1/CCNE1/MLH3/MND1/ZWINT/PSMC3IP/TEX15/ESPL1/BRIP1/KNL1/FANCD2/ATM/KASH5/PTTG1/SYCE1/IHO1/SIRT7/MSH5/BAG6/PTTG2,27,cd4_all_blue_GO_BP_AllGenes.csv,NA,NA
cd4_all,blue,GO,BP,AllGenes,GO:0000910,cytokinesis,73/4070,171/12980,0.426900584795322,1.36146672988778,3.21579045138187,0.00109831986383433,0.034153404127368,0.032959393594457403,POLDIP2/ANLN/CUL7/ZFYVE26/CDC14A/CDC14B/AURKA/BIRC5/KIF4A/CDC6/EFHC1/SEPTIN3/KIF3B/CHMP4B/CCP110/RAB11A/CSPP1/FSD1/MTMR4/RAB35/KIF20A/ECT2/ROPN1B/ACTR3/CENPA/BIRC6/EXOC8/STMN1/KIF14/TEX14/CIT/STAMBP/E2F8/ATXN10/CHMP2A/CHMP1A/EXOC4/VPS4A/CDCA8/ESPL1/CKAP2/DCTN3/NUSAP1/KIF23/ARL3/CEP55/KIF20B/BRCA2/IQGAP1/JTB/CALM2/ANKRD53/CETN2/CHMP7/INCENP/CALM3/KLHL21/SEPTIN8/ARF6/ENTR1/E2F7/CENPV/CNTROB/BCL2L1/CFL1/AURKB/IQGAP3/PIK3R4/PRC1/TAS2R13/CHMP4A/RAB11FIP3/MYO19,73,cd4_all_blue_GO_BP_AllGenes.csv,NA,NA
